index,uid
5,8uitIB
4,8uitIB
4,8uitIB
8,8uitIB
20,8uitIB
9,8uitIB
8,8uitIB
9,8uitIB
9,8uitIB
9,8uitIB
13,8uitIB
36,9uXY83
28,9uXY83
35,9uXY83
31,9uXY83
37,9uXY83
28,9uXY83
34,9uXY83
31,9uXY83
37,9uXY83
34,9uXY83
31,9uXY83
31,9uXY83
39,9uXY83
36,VTrmgQ
25,VTrmgQ
34,VTrmgQ
39,VTrmgQ
35,VTrmgQ
34,68njvT
11,68njvT
39,68njvT
27,68njvT
27,68njvT
34,68njvT
36,68njvT
36,68njvT
27,68njvT
32,68njvT
27,68njvT
28,68njvT
33,nImc1L
12,nImc1L
15,nImc1L
11,nImc1L
30,nImc1L
26,nImc1L
22,bXUSlm
15,bXUSlm
14,bXUSlm
16,bXUSlm
14,bXUSlm
6,vHsgt6
7,vHsgt6
30,vHsgt6
17,vHsgt6
6,vHsgt6
17,vHsgt6
17,vHsgt6
15,vHsgt6
1,vHsgt6
7,vHsgt6
38,vHsgt6
31,vHsgt6
18,FZLWX6
18,FZLWX6
18,FZLWX6
18,FZLWX6
18,FZLWX6
18,FZLWX6
18,FZLWX6
18,FZLWX6
8,6r9VVW
5,6r9VVW
8,6r9VVW
8,6r9VVW
5,6r9VVW
4,6r9VVW
9,6r9VVW
20,6r9VVW
8,6r9VVW
2,vyK8jS
3,vyK8jS
1,vyK8jS
30,vyK8jS
30,vyK8jS
15,vyK8jS
26,vyK8jS
17,vyK8jS
33,vyK8jS
22,IKmLm3
23,IKmLm3
39,IKmLm3
32,IKmLm3
39,IKmLm3
37,IKmLm3
25,oPYBL9
11,oPYBL9
11,oPYBL9
39,oPYBL9
37,oPYBL9
35,oPYBL9
30,oPYBL9
37,oPYBL9
30,oPYBL9
5,cU7Slh
5,cU7Slh
23,cU7Slh
23,cU7Slh
4,cU7Slh
18,cU7Slh
13,cU7Slh
18,cU7Slh
9,cU7Slh
20,cU7Slh
23,cU7Slh
20,cU7Slh
8,cU7Slh
24,IDrPwF
12,IDrPwF
20,IDrPwF
8,IDrPwF
5,IDrPwF
2,rttKdt
2,rttKdt
27,rttKdt
16,rttKdt
10,rttKdt
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
21,yUMe5e
14,yUMe5e
3,yUMe5e
15,yUMe5e
0,yUMe5e
10,yUMe5e
19,yUMe5e
2,yUMe5e
17,yUMe5e
17,yUMe5e
1,yUMe5e
13,LS8CUt
4,LS8CUt
5,LS8CUt
5,LS8CUt
8,LS8CUt
18,LS8CUt
9,LS8CUt
18,LS8CUt
4,LS8CUt
6,pmFgpd
6,pmFgpd
6,pmFgpd
6,pmFgpd
6,pmFgpd
6,pmFgpd
6,pmFgpd
0,YCB647
35,YCB647
35,YCB647
28,YCB647
28,YCB647
34,YCB647
28,YCB647
28,YCB647
37,YCB647
39,YCB647
31,YCB647
0,YCB647
14,miuOeU
3,miuOeU
29,miuOeU
21,miuOeU
33,miuOeU
24,miuOeU
11,miuOeU
6,miuOeU
30,miuOeU
14,miuOeU
19,miuOeU
15,miuOeU
23,miuOeU
15,miuOeU
26,TDNjyn
19,TDNjyn
7,TDNjyn
0,TDNjyn
23,TDNjyn
24,TDNjyn
33,TDNjyn
24,TDNjyn
12,8NPXkl
23,8NPXkl
24,8NPXkl
20,8NPXkl
20,8NPXkl
6,8NPXkl
15,QhCgUl
21,QhCgUl
22,QhCgUl
19,QhCgUl
17,QhCgUl
22,QhCgUl
30,aDkp80
32,aDkp80
30,aDkp80
15,aDkp80
26,aDkp80
11,aDkp80
33,aDkp80
26,PEnfCt
29,PEnfCt
2,PEnfCt
29,PEnfCt
10,PEnfCt
15,PEnfCt
33,PEnfCt
32,PEnfCt
17,rcunWW
24,rcunWW
15,rcunWW
14,rcunWW
19,rcunWW
6,rcunWW
7,rcunWW
1,rcunWW
21,rcunWW
29,rcunWW
2,rcunWW
11,rcunWW
16,rcunWW
38,rcunWW
10,AHovu6
7,AHovu6
26,AHovu6
22,AHovu6
11,AHovu6
22,AHovu6
14,PiUCUg
21,PiUCUg
14,PiUCUg
15,PiUCUg
7,PiUCUg
10,PiUCUg
26,PiUCUg
2,PiUCUg
22,PiUCUg
17,PiUCUg
2,PiUCUg
22,PiUCUg
21,PiUCUg
22,PiUCUg
21,CRobBR
18,CRobBR
20,CRobBR
9,CRobBR
18,CRobBR
6,CRobBR
20,CRobBR
5,CRobBR
21,CRobBR
21,CRobBR
8,CRobBR
4,CRobBR
19,NGiUiO
38,NGiUiO
10,NGiUiO
10,NGiUiO
32,NGiUiO
19,NGiUiO
32,NGiUiO
19,NGiUiO
11,NGiUiO
30,NGiUiO
13,orW5ry
13,orW5ry
8,orW5ry
6,orW5ry
5,orW5ry
20,orW5ry
5,orW5ry
4,orW5ry
21,orW5ry
5,orW5ry
20,lQuDrB
20,lQuDrB
5,lQuDrB
18,lQuDrB
20,lQuDrB
13,lQuDrB
4,lQuDrB
21,lQuDrB
20,lQuDrB
4,lQuDrB
20,lQuDrB
26,G8AIL3
14,G8AIL3
15,G8AIL3
10,G8AIL3
2,G8AIL3
10,G8AIL3
14,G8AIL3
3,G8AIL3
16,G8AIL3
15,G8AIL3
25,hIzjcr
29,hIzjcr
39,hIzjcr
35,hIzjcr
30,hIzjcr
11,hIzjcr
32,hIzjcr
30,hIzjcr
39,hIzjcr
31,hIzjcr
11,hIzjcr
34,hIzjcr
0,C91Fbe
14,C91Fbe
19,C91Fbe
3,C91Fbe
22,C91Fbe
2,C91Fbe
15,C91Fbe
15,C91Fbe
15,C91Fbe
2,C91Fbe
26,C91Fbe
15,C91Fbe
15,C91Fbe
21,wwqDHp
9,wwqDHp
5,wwqDHp
18,wwqDHp
8,wwqDHp
18,wwqDHp
21,wwqDHp
13,wwqDHp
